Merchant Name,Expense Category
WWW.CANADIANTIRE.CA,Property Mgmt
SQ *BURLINGTON - KATHI,Meals
MELT N DIP,Meals
3 FOOD STREET,Meals
CHAI PANI,Meals
MELT N DIP,Meals
TIM HORTONS #0532,Meals
RED CHILLI CHINESE CUI,Meals
VIRGIN PLUS,Internet
PETSMART INC. 2002,Pet Supplies
DOLLARAMA #1401,Supplies
BOOSTER JUICE #476,Meals
407ETR-PRE AUTH,407
5TARA INDIAN CUISINE,Meals
MPAC REALSTOR,TREB/OREA
TIM HORTONS #1007,Meals
MELT N DIP,Meals
TIM HORTONS #0814,Meals
MELT N DIP,Meals
MPAC REALSTOR,TREB/OREA
Citywide Door And Hard,Supplies
TIM HORTONS #0627,Meals
MY ROTI PLACE/MY DOSSA,Meals
RED CHILLI CHINESE CUI,Meals
MELT N DIP,Meals
PETSMART INC. 2002,Pet Supplies
AMZN Mktp CA*1V5067RR2,Supplies
AMZN Mktp CA*1F20L7A20,Supplies
PAYMENT - THANK YOU / PAI,Payment
MELT N DIP,Meals
Amazon.ca*1F7IT6FA0,Subscription
VIRGIN PLUS,Internet
407ETR-PRE AUTH,407
MCDONALD'S #4365 QPS,Meals
OH BOMBAY BURLINGTON,Meals
APPLEVALE ORCHARDS,Entertainment
OH BOMBAY,Meals
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
TIM HORTONS #1623,Meals
DOLLARAMA #1005,Supplies
AMZN Mktp CA*H84BH4IV2,Supplies
DENTISTRY @ PRESERVE,Medical
DENTISTRY @ PRESERVE,Medical
MELT N DIP,Meals
TIM HORTONS #2168,Meals
TIM HORTONS #3940,Meals
A1 SWEETS,Meals
Amazon.ca*H85GE88Q1,Supplies
THIARA SUPERMARKET BUR,Meals
PAYPAL *ROBLOX CORP,Subscription
BOMBAY CHILLI INDIAN H,Meals
Amazon.ca Prime Member,Subscription
AMZN Mktp CA*H805O2800,Supplies
AMZN Mktp CA*HT8D057F2,Supplies
TIM HORTONS #3695,Meals
HARVEY'S #2669,Meals
AMZN Mktp CA*HT95B12W1,Supplies
AMZN Mktp CA*HT74O9MY1,Supplies
TIM HORTONS #0334,Meals
DOLLARAMA # 840,Supplies
PAYMENT - THANK YOU / PAI,Payment
RAJDHANI SWEETS & REST,Meals
TERANET INC.,TREB/OREA
HAKKA NO.1,Meals
I HEART BOBA,Meals
ROYAL GARDEN,Meals
ROYAL PAAN,Meals
VIRGIN PLUS,Internet
407ETR-PRE AUTH,407
TIM HORTONS #0561,Meals
TIM HORTONS #1713,Meals
BURGER BLOC,Meals
JIFFY LUBE,Vehicle Maint
PETSMART INC. 2002,Pet Supplies
TIM HORTONS #1713,Meals
Subway 47522,Meals
AMZN Mktp CA*142Y40VF2,Supplies
AMZN Mktp CA*142VJ4UF0,Supplies
Amazon.ca*142VY48G1,Supplies
Amazon.ca Prime Member,Subscription
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
I HEART BOBA,Meals
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
Shukrana Passport Phot,Supplies
NETFLIX.COM,Subscription
PAYPAL *APPLE.COM/BILL,Subscription
Amazon.ca Prime Member,Subscription
OH BOMBAY,Meals
MELT N DIP,Meals
MELT N DIP,Meals
VIRGIN PLUS,Internet
AMZN Mktp CA*HB0LL2PA0,Supplies
PAYMENT - THANK YOU / PAI,Payment
PAYPAL *APPLE.COM/BILL,Subscription
407ETR-PRE AUTH,407
PAYPAL *DESIGNER BR,Supplies
PAYPAL *INSTANTINK,Subscription
AMZN Mktp CA*H20XL1DN0,Supplies
MELT N DIP,Meals
IPRO REALTY LTD,IPRO
PAYPAL *CARFAX CAN.,Vehicle Maint
CITY OF MISSISSAUGA,Vehicle Maint
PUNJABI BY NATURE,Meals
NETFLIX.COM,Subscription
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
AMZN Mktp CA*P94CB9B03,Supplies
OH BOMBAY,Meals
SAFARI CHILDREN'S DENT,Medical
PAYPAL *GROUPEDYNAM,Supplies
BLUENOTES 9836,Supplies
FRESHLY SQUEEZED BULIN,Meals
SILVER SPOON INC,Meals
SHELL C21831,Vehicle Maint
TREB-ECOMMERCE,TREB/OREA
Amazon.ca Prime Member,Subscription
AMZN Mktp CA*FY5AP04U3,Supplies
SHOPPERS DRUG MART #08,Supplies
AMZN Mktp CA*EG25C06G3,Supplies
AMZ*Hundred Milliono S,Supplies
AMZN Mktp CA*NW9NI5EU3,Supplies
Amazon.ca*VL25G6273,Supplies
PAYMENT - THANK YOU / PAI,Payment
THE HOME DEPOT #7130,Property Mgmt
SHOPPERS DRUG MART #08,Supplies
AMZ*Homeway-com,Supplies
PAYPAL *HOMEDEPOTCA,Property Mgmt
DOLLARAMA #1067,Supplies
AMZN Mktp CA*HO53W1RB3,Supplies
AMZN Mktp CA*7H4PG5IM3,Supplies
AMZN Mktp CA*KL2FS2JA3,Supplies
AMZN Mktp CA*IN97U20A3,Supplies
AMZN Mktp CA*IA5KJ4UO3,Supplies
PAYPAL *APPLE.COM/BILL,Subscription
407ETR-PRE AUTH,407
IPRO REALTY LTD,IPRO
SHOPPERS DRUG MART #08,Supplies
TIM HORTONS #0611,Meals
TRILLIUM HOSPITAL-MISS,Travel
THE HOME DEPOT #7130,Property Mgmt
VIRGIN PLUS,Internet
Amazon.ca*5V9LB80T3,Supplies
AMZN Mktp CA*CQ0XJ4GG3,Supplies
TOP HAT CLEANERS,Agent Misc
PETSMART INC. 2002,Pet Supplies
DOLLARAMA #1401,Supplies
AMZN Mktp CA*XW39R4QY3,Supplies
PRESTO AUTL TORONTO ON,Travel
Amazon.ca*TT84W4IB3,Supplies
Amazon.ca*4W6PW7G23,Supplies
Amazon.ca*EC26C6BM3,Supplies
Amazon.ca*020RJ70E3,Supplies
APPLE.COM/BILL,Subscription
Microsoft*Microsoft 365 P,Subscription
DOLLARAMA #1005,Supplies
THE HOME DEPOT #7112,Property Mgmt
SQ *BUBBLE BE BE PET GROO,Pet Supplies
IPRO REALTY LTD,IPRO
INDIAN ACCENT CURRY BISTR,Meals
I HEART BOBA,Meals
PAYPAL *INSTANTINK,Supplies
407ETR-PRE AUTH,Vehicle Misc
PETSMART 3195,Pet Supplies
PAYPAL *APPLE.COM/BILL,Subscription
BOBACHA CAFE (OAKVILLE),Meals
BOON BURGER CAFE,Meals
DOLLARAMA #1067,Supplies
REWARDS REDEMPTION,
RELIANCE HOME COMFORT,Property Mgmt
SHOE COMPANY # 297,Supplies
AMZN Mktp CA*EL3N78VZ3,Supplies
AMZN Mktp CA*UF64V9TR3,Supplies
Amazon.ca*Q54QQ5E73,Supplies
TIM HORTONS #2118,Meals
I HEART BOBA,Meals
TIM HORTONS #0631,Meals
TOMMY HILFIGER #759,Supplies
TOMMY HILFIGER #748,Supplies
TOMMY HILFIGER #748,Supplies
Swarovski,Supplies
BEST BUY #930,Hardware
VESTA  *CHATR,Phone
PAYPAL *BEST BUY,Hardware
BOOSTER JUICE #479,Meals
VIRGIN PLUS,Phone
VIRGIN PLUS,Phone
FOOD BASICS  841,Meals
DOLLARAMA #1005,Supplies
I HEART BOBA,Meals
GAP.COM 4584,Supplies
AMZN Mktp CA*884PM2UD3,Supplies
OLDNAVY.COM 2944,Supplies
AMZN Mktp CA*ZM3C50X53,Supplies
BOON BURGER CAFE,Meals
MCDONALD'S #12721  Q04,Meals
PIZZA PIZZA # 104,Meals
DOLLARAMA #1415,Supplies
RELIANCE HOME COMFORT,Property Mgmt
THE HOME DEPOT #7109,Property Mgmt
UBER* EATS,Meals
ROGERS      *******,Internet
WAL*MART CANADA INC,Supplies
PAYPAL *DESIGNER BR,Supplies
BEST BUY #930,Hardware
GAP.COM 4584,Supplies
SECURITY NATIONAL INSURAN,Insurance
THE HOME DEPOT #7003,Property Mgmt
PAYPAL *APPLE.COM/BILL,Subscription
PAYPAL *BEST BUY,Hardware
MCCARTHY UNIFORMS,Supplies
NETFLIX.COM,Subscription
VIRGIN PLUS,Phone
VIRGIN PLUS,Phone
IPRO REALTY LTD,IPRO
Amazon.ca Prime Member,Subscription
THE HOME DEPOT #7130,Property Mgmt
Amazon.ca*BM4497Y73,Supplies
APPLE.COM/BILL,Subscription
Amazon.ca*PC9HD5D53,Supplies
PAYPAL *INSTANTINK,Supplies
OLDNAVY.COM 2944,Supplies
OLDNAVY.COM 2944,Supplies
407ETR-PRE AUTH,Vehicle Misc
PAYPAL *APPLE.COM/BILL,Subscription
Amazon.ca Prime Member,Subscription
SHEIN.COM,Supplies
VIRGIN PLUS,Phone
AMZN Mktp CA*1P1TJ36D3,Supplies
OLDNAVY.COM 2944,Supplies
OLDNAVY.COM 2944,Supplies
OLDNAVY.COM 2944,Supplies
PARKING PPL,Vehicle Misc
VESTA  *CHATR,Phone
VIRGIN PLUS,Phone
VIRGIN PLUS,Phone
H&M Hennes & Mauritz Inc.,Supplies
SHEIN.COM,Supplies
PartSelect 800-901-6912,Supplies
UBER CANADA/UBEREATS,Meals
DOLLARAMA #1005,Supplies
UBER* EATS,Meals
WAL*MART CANADA INC,Supplies
CLASSIC BOWL,Entertainment
CLASSIC BOWL,Entertainment
WAL*MART CANADA INC,Supplies
RELIANCE HOME COMFORT,Property Mgmt
AMZ*Alighting,Supplies
LYFT   *RIDE THU 6PM,Travel
GAP.COM 4584,Supplies
TOMMY HILFIGER #759,Supplies
H & M CA # 010 - ERIN,Supplies
SHOPPERS DRUG MART #08,Supplies
OLDNAVY.COM 2944,Supplies
H&M Hennes & Mauritz Inc.,Supplies
OLDNAVY.COM 2944,Supplies
MPAC PROPERTY LINE,Subscription
NETFLIX.COM,Subscription
H&M Hennes & Mauritz Inc.,Supplies
OLDNAVY.COM 2944,Supplies
IPRO REALTY LTD,IPRO
H&M Hennes & Mauritz Inc.,Supplies
OLDNAVY.COM 2944,Supplies
VIRGIN PLUS,Phone
APPLE.COM/BILL,Subscription
H&M Hennes & Mauritz Inc.,Supplies
OLDNAVY.COM 2944,Supplies
PAYPAL *APPLE.COM/BILL,Subscription
CLINIQUE ONLINE,Supplies
NIAGARA PARKS COMMISSION,Vehicle Misc
ROGERS      *******,Internet
PHOTOPLUS,Supplies
Amazon.ca*1W2ZY4600,Supplies
PETSMART INC. 2002,Pet Supplies
DOLLARAMA #1067,Supplies
DOLLARAMA #1415,Supplies
DOLLARAMA #1005,Supplies
PAYPAL *APPLE.COM/BILL,Subscription
WAL-MART SUPERCENTER#3064,Supplies
POOLSUPPLYCANADAJRTOY,Hardware
TOYS R US ONLINE,Supplies
1839-TOR RELAY TERM 1,Travel
STARBUCKS BACARDI 4221,Meals
407ETR-PRE AUTH,Vehicle Misc
GOGOINFLIGHT*,Travel
PAY*ADITYA BIRLA FASHIO,Supplies
TATA STARBUCKS PRIVATE,Meals
MPAC PROPERTY LINE,Subscription
MR. LUBE  - #547,Vehicle Maint
VESTA  *CHATR,Phone
DOLLARAMA # 492,Supplies
GOGOINFLIGHT*,Travel
THE HOME DEPOT #7157,Property Mgmt
RELIANCE HOME COMFORT,Property Mgmt
SHEIN.COM,Supplies
ROGERS      *******,Internet
CINEPLEX 7123,Entertainment
CINEPLEX 7123,Entertainment
LOWES #03327*,Hardware
CLAIRE'S #603,Supplies
COCO FRESH TEA & JUICE M,Meals
STARBUCKS COFFEE #5298,Meals
OLD NAVY CA 4459,Supplies
WINNERS 394,Supplies
MCCARTHY UNIFORMS,Supplies
FOOD BASICS  841,Meals
VIRGIN PLUS,Phone
VIRGIN PLUS,Phone
NETFLIX.COM,Subscription
PAYPAL *IKEACANADA,Furniture
AMZN Mktp CA*1617X5UL0,Supplies
THE HOME DEPOT #7021,Property Mgmt
TIM HORTONS #2118,Meals
TIM HORTONS #2118,Meals
TIM HORTONS #2118,Meals
FOOD BASICS  841,Meals
AMZN Mktp CA*1H8DL3G31,Supplies
FORTINOS (NEYAGAWA 201,Meals
APPLE.COM/BILL,Subscription
IPRO REALTY LTD,IPRO
IKEA BURLINGTON,Furniture
DOLLARAMA #1005,Supplies
INTUIT *TURBOTAX,Subscription
PET VALU,Pet Supplies
407ETR-PRE AUTH,Vehicle Misc
FRESHCO #9712,Meals
SHOPPERS DRUG MART #12,Supplies
Amazon.ca Prime Member,Subscription
AMZN Mktp CA*1H8LW51G2,Supplies
PAYPAL *1AND1 INC,Supplies
PAYPAL *APPLE.COM/BILL,Subscription
PAYPAL *APPLE.COM/BILL,Subscription
WAL*MART CANADA INC,Supplies
Amazon.ca*1A5N76TL0,Supplies
WWW.CANADIANTIRE.CA,Property Mgmt
OLDNAVY.COM 2944,Supplies
RESIDENCE-SENECA-NEWNHAM,Supplies
VESTA  *CHATR,Phone
UBER CANADA/UBEREATS,Meals
UBER CANADA/UBEREATS,Meals
SHELL C11318,Gas
MPAC PROPERTY LINE,Subscription
FORTINOS (NEYAGAWA 201,Meals
THE HOME DEPOT #7130,Property Mgmt
RELIANCE HOME COMFORT,Property Mgmt
FORTINOS (NEYAGAWA 201,Meals
THE HOME DEPOT #7130,Property Mgmt
VIRGIN PLUS,Phone
NETFLIX.COM,Subscription
PLAYTIME TOYS,Supplies
OLD NAVY CANADA 5462,Supplies
H & M CA # 010 - ERIN,Supplies
WAL-MART SUPERCENTER#1211,Supplies
VIRGIN PLUS,Phone
OLDNAVY.COM 2944,Supplies
SHEIN.COM,Supplies
IPRO REALTY LTD,IPRO
APPLE.COM/BILL,Subscription
OLDNAVY.COM 2944,Supplies
TERRA,Supplies
TERRA,Supplies
DOLLARAMA #1005,Supplies
407ETR-PRE AUTH,Vehicle Misc
FRESHCO #9712,Meals
PAYPAL *APPLE.COM/BILL,Subscription
PayUp*amazo,Supplies
OLDNAVY.COM 2944,Supplies
Amazon.ca Prime Member,Subscription
Amazon.ca*1L2Z58J22,Supplies
PIZZAIOLO 229 QUEEN,Meals
FOOD BASICS  841,Meals
SHEIN.COM,Supplies
VIRGIN PLUS,Internet
OLDNAVY.COM 2944,Supplies
PAYPAL *APPLE.COM/BILL,Subscription
RELIANCE HOME COMFORT,House Repair / Reno
Amazon.ca Prime Member,Subscription
PIZZAVILLE #137 OAKVIL,Meals
PIZZAVILLE STORE 137,Meals
OLDNAVY.COM 2944,Supplies
"TOYS ""R"" US #3518",Supplies
ROYAL BANK OF CANADA,
SHEIN.COM,Supplies
SHEIN.COM,Supplies
INDIGO 411,Supplies
Amazon.ca*1R8I17IA0,Supplies
CLAIRE'S #2506,Supplies
SHOPPERS DRUG MART #08,Supplies
DOLLARAMA #1005,Supplies
MATHESON SWEETS AND CATER,Meals
Subway 57416,Meals
REAL ESTATE COUNCIL OF ON,TREB/OREA
FORTINOS (NEYAGAWA 201,Meals
SHEIN.COM,Supplies
AMZN Mktp CA*1X1Y01NB0,Supplies
Amazon.ca Prime Member,Subscription
NETFLIX.COM,Subscription
AMZN Mktp CA*1X5TS20V0,Supplies
TREB-ECOMMERCE,TREB/OREA
WEED-A-WAY LTD,Property Mgmt
I HEART BOBA,Meals
AMZN Mktp CA*AK05Q0CN3,Supplies
AMZN Mktp CA*D32DD1ZL3,Supplies
IPRO REALTY LTD,IPRO
APPLE.COM/BILL,Subscription
CDN TIRE STORE #00429,House Repair / Reno
CLEO  ECOMMERCE 980,Supplies
FALLS AVENUE MARKETPLA,Meals
BK #3686,Meals
PIZZA PIZZA,Meals
SKYLON FOOD SERVICE,Meals
DOWNHILL ICE CREAM,Meals
PAYPAL *INSTANTINK,Supplies
AMZN Mktp CA*N59AR5QC3,Supplies
407ETR-PRE AUTH,407
SWIMPLY,Entertainment
PAYPAL *APPLE.COM/BILL,Subscription
PAYPAL *APPLE.COM/BILL,Subscription
MIXTILES,Supplies
FORTINOS (NEYAGAWA 201,Meals
AMZN Mktp CA*TK6QX1FP3,Supplies
SHEIN.COM,Supplies
AMZN Mktp CA*SW94J5543,Supplies
AMZN Mktp CA*9A29127K3,Supplies
FOOD BASICS  841,Meals
DOLLARAMA #1005,Supplies
WWW.CANADIANTIRE.CA,Property Mgmt
DESIGNER BRANDS SHOES,Supplies
PAYPAL *APPLE.COM/BILL,Subscription
AMZN Mktp CA*0L6PB3YJ3,Supplies
DOLLARAMA #1005,Supplies
CODE NINJAS,Agent Misc
STARBUCKS 04675,Meals
Amazon.ca Prime Member,Subscription
BOOSTER JUICE #476,Meals
H & M CA #001,Supplies
RELIANCE HOME COMFORT,Property Mgmt
1080 ENERCARE CENTRE,Meals
MCCARTHY UNIFORMS,Agent Misc
AMZ*U-DODO SHOP,Supplies
LYFT   *RIDE SAT 11AM,Travel
BECKER'S #8664101,Supplies
DOLLARAMA #1401,Entertainment
CHAPTERS 782,Supplies
LYFT   *RIDE SAT 10AM,Travel
FORTINOS (NEYAGAWA 201,Meals
ROYAL BANK OF CANADA,Payment
CAA MEMBERSHIP,CAA
PAYPAL *1AND1 INC,Subscription
Amazon.ca Prime Member,Subscription
NETFLIX.COM,Subscription
DD/DOORDASHBOOSTERJUIC,Meals
SP SUZYSHIER,Supplies
WAL*MART CANADA INC,Supplies
APPLE.COM/BILL,Subscription
MONASTERY BAKERY (ON L,Entertainment
WAL*MART CANADA INC,Supplies
SUZY SHIER 7823,Supplies
THE CHILDREN'S PLACE #322,Supplies
DOLLARAMA #1415,Supplies
UBER CANADA/UBEREATS,Meals
DOLLARAMA #1005,Supplies
VIRGIN PLUS,Internet
SHOE COMPANY # 272,Supplies
IPRO REALTY LTD,IPRO
SHOPPERS DRUG MART #12,Medical
GREAT CLIPS #9280,Agent Misc
DOLLARAMA #1005,Supplies
Amazon.ca*WO5O93Q83,Supplies
PAYPAL *APPLE.COM/BILL,Subscription
PAYPAL *APPLE.COM/BILL,Subscription
METRO  490,Entertainment
DOLLARAMA #1005,Supplies
BOMBAY PALACE,Entertainment
LYFT   *RIDE WED 1PM,Travel
OLDNAVY.COM 2944,Supplies
OLDNAVY.COM 2944,Supplies
SHEIN.COM,Supplies
ROGERS      ******8709,Internet
RELIANCE HOME COMFORT,Property Mgmt
PIZZAVILLE #137 OAKVIL,Meals
WAL-MART SUPERCENTER#3064,Supplies
OLDNAVY.COM 2944,Supplies
ROYAL BANK OF CANADA,Payment
RADHA KRUSHNA,Meals
DENTISTRY @ PRESERVE,Medical
TIM HORTONS #2963,Meals
PIZZA PIZZA # 969,Meals
BOOSTER JUICE # 413,Meals
BANGKOK BURI,Meals
THE ROYAL ONTARIO MUSE,Entertainment
METROLINX - GO TRANSIT,Travel
TIM HORTONS #1874,Meals
NETFLIX.COM,Subscription
NINA GELATERIA AND PASTRY,Meals
APPLE.COM/BILL,Subscription
IPRO REALTY LTD,IPRO
BOOSTER JUICE #476,Meals
BOON BURGER CAFE,Meals
SHEIN.COM,Supplies
BUCK OR TWO #578,Supplies
PAYPAL *APPLE.COM/BILL,Subscription
BOOSTER JUICE #476,Meals
RELIANCE HOME COMFORT,Property Mgmt
ROYAL BANK OF CANADA,
PAYPAL *APPLE.COM/BILL,Subscription
NETFLIX.COM,Subscription
APPLE.COM/BILL,Subscription
CONSERVATION HALTON,Entertainment
KERNELS POPCORN & YOGEN F,Meals
PETSMART 3195,Pet Supplies
PAYPAL *APPLE.COM/BILL,Subscription
TOASTMASTERS OTHER,Agent Misc
SEPHORA.CA,Supplies
APPLE.COM/BILL,Subscription
ROYAL BANK OF CANADA,Payment
NETFLIX.COM,Subscription
RELIANCE HOME COMFORT,Property Mgmt
GEMS LEARNING INSTITUT,Agent Misc
IPRO REALTY LTD,IPRO
PAYPAL *APPLE.COM/BILL,Subscription
OLDNAVY.COM 2944,Supplies
WAL-MART SUPERCENTER#3064,Supplies
TIM HORTONS #2987,Meals
ARDENE #50,Supplies
OLD NAVY CANADA 5462,Supplies
MILKYWAY TREATS,Meals
H & M CA # 010 - ERIN,Supplies
SHOE COMPANY # 287,Supplies
REXALL PHARMACY #8164,Supplies
TIM HORTONS #5556,Meals
1000249468 ONTARIO INC.,Meals
APPLE.COM/BILL,Subscription
1000249468 ONTARIO INC.,Meals
RCSS #1024,Meals
WINNERS 483,Supplies
ROYAL BANK OF CANADA,Payment
NETFLIX.COM,Subscription
SWADESH BURLINGTON,Meals
TOASTMASTERS OTHER,Agent Misc
RELIANCE HOME COMFORT,Property Mgmt
MEINEKE CAR CARE CENTRE,Vehicle Maint
OLDNAVY.COM 2944,Supplies
PAYPAL *HOSTGATOR,Subscription
OLDNAVY.COM 2944,Supplies
CITY OF MISSISSAUGA,Vehicle Misc
UBER CANADA/UBERTRIP,LYFT
THE HOME DEPOT #7006,Property Mgmt
IPRO REALTY LTD,IPRO
AIR CAN*    0144232020991,Travel
AIR CAN*    0144232020992,Travel
DD/DOORDASHBOOSTERJUIC,Meals
APPLE.COM/BILL,Subscription
FRESHCO #9712,Meals
OLDNAVY.COM 2944,Supplies
OLDNAVY.COM 2944,Supplies
OLDNAVY.COM 2944,Supplies
LYFT   *RIDE SUN 9PM,Travel
ROYAL BANK OF CANADA,Payment
TIM HORTONS #1795#QTH,Meals
TOASTMASTERS OTHER,Agent Misc
OLDNAVY.COM 2944,Supplies
OAKVILLE - GO TVM,Travel
RELIANCE HOME COMFORT,Property Mgmt
DOLLARAMA #1005,Supplies
OLDNAVY.COM 2944,Supplies
OLDNAVY.COM 2944,Supplies
